year,month,region,city1,city2,sales_amounts,sales_volume,prices
2015,3,전북,완주,전주,34,48,717
2015,3,제주,제주,제주,50,123,408
2015,3,충남,서산,서산,10,12,846
2015,4,경기,구리,서울,582,994,586
2015,4,경남,거창,거창,7,25,294
2015,4,경남,밀양,밀양,0,1,490
2015,4,경남,의령,의령군,14,24,596
2015,4,경남,창녕,밀양,397,976,407
2015,4,경남,함양,산청,211,448,471
2015,4,경남,합천,합천,224,435,516
2015,4,경북,경산,대구,106,197,538
2015,4,경북,고령,합천,6,8,724
2015,4,경북,군위,의성,194,325,596
2015,4,경북,김천,추풍령,369,431,856
2015,4,경북,문경,문경,20,21,930
2015,4,경북,영주,영주,15,24,600
2015,4,경북,영천,영천,598,1058,565
2015,4,경북,의성,의성,184,383,480
2015,4,대구,달성,대구,15,32,474
2015,4,대구,대구중구,대구,115,184,627
2015,4,전남,고흥,고흥,1189,1745,681
2015,4,전남,나주,광주,9,17,540
2015,4,전남,무안,목포,3970,6625,599
2015,4,전남,신안,목포,1062,2995,355
2015,4,전남,여수,여수,159,242,659
2015,4,전남,영암,강진군,319,558,573
2015,4,전남,장흥,장흥,56,97,573
2015,4,전남,함평,영광,431,972,443
2015,4,전남,해남,해남,169,360,471
2015,4,전북,고창,고창,313,436,716
2015,4,전북,부안,부안,193,259,745
2015,4,전북,완주,전주,1,2,336
2015,4,제주,서귀포,서귀포,798,1074,743
2015,4,제주,제주,제주,3225,4394,734
2015,4,충남,서산,서산,86,112,770
2015,5,경기,구리,서울,589,853,691
2015,5,경남,거창,거창,15,19,775
2015,5,경남,밀양,밀양,12,22,551
2015,5,경남,의령,의령군,13,26,477
2015,5,경남,창녕,밀양,416,704,590
2015,5,경남,창원의창,북창원,4,8,510
2015,5,경남,함양,산청,15,26,573
2015,5,경남,합천,합천,56,86,648
2015,5,경북,경산,대구,58,91,633
2015,5,경북,고령,합천,42,71,598
2015,5,경북,군위,의성,44,65,670
2015,5,경북,김천,추풍령,54,89,606
2015,5,경북,문경,문경,17,23,757
2015,5,경북,안동,안동,43,81,526
2015,5,경북,영천,영천,43,72,589
2015,5,경북,의성,의성,20,25,781
2015,5,대구,달성,대구,11,15,735
2015,5,대구,대구중구,대구,519,898,578
2015,5,전남,고흥,고흥,1303,2148,607
2015,5,전남,나주,광주,23,45,517
2015,5,전남,무안,목포,10760,17321,621
2015,5,전남,신안,목포,230,391,588
2015,5,전남,여수,여수,91,142,638
2015,5,전남,영암,강진군,61,101,604
2015,5,전남,장흥,장흥,110,228,481
2015,5,전남,함평,영광,931,1589,586
2015,5,전남,해남,해남,666,1106,602
2015,5,전북,고창,고창,388,652,594
2015,5,전북,부안,부안,1,3,544
2015,5,제주,서귀포,서귀포,278,376,739
2015,5,제주,제주,제주,1840,2627,700
2015,5,충남,서산,서산,161,253,636
2015,6,경기,구리,서울,672,862,779
2015,6,경남,거창,거창,24,32,741
2015,6,경남,밀양,밀양,19,35,560
2015,6,경남,의령,의령군,90,105,852
2015,6,경남,창녕,밀양,882,1281,689
2015,6,경남,창원의창,북창원,19,35,552
2015,6,경남,함양,산청,190,251,754
2015,6,경남,합천,합천,376,530,710
2015,6,경북,경산,대구,77,107,718
2015,6,경북,고령,합천,308,411,750
2015,6,경북,구미,구미,34,37,921
2015,6,경북,군위,의성,122,152,803
2015,6,경북,김천,추풍령,485,577,841
2015,6,경북,문경,문경,4,6,646
2015,6,경북,안동,안동,6,8,717
2015,6,경북,영주,영주,52,56,923
2015,6,경북,영천,영천,67,80,836
2015,6,경북,의성,의성,20,29,709
2015,6,대구,달성,대구,41,72,564
2015,6,대구,대구중구,대구,181,271,669
2015,6,전남,고흥,고흥,199,297,670
2015,6,전남,나주,광주,34,52,653
2015,6,전남,무안,목포,10771,13115,821
2015,6,전남,신안,목포,156,222,702
2015,6,전남,여수,여수,96,128,747
2015,6,전남,영암,강진군,187,215,870
2015,6,전남,장흥,장흥,279,436,641
2015,6,전남,함평,영광,920,1195,770
2015,6,전남,해남,해남,1412,1855,761
2015,6,전북,고창,고창,255,312,817
2015,6,전북,부안,부안,37,51,718
2015,6,전북,완주,전주,45,44,1014
2015,6,전북,익산,군산,60,78,764
2015,6,제주,제주,제주,167,172,969
2015,6,충남,논산,부여,7,11,678
2015,6,충남,서산,서산,280,293,954
2015,7,경기,구리,서울,775,695,1115
2015,7,경남,거창,거창,48,42,1160
2015,7,경남,밀양,밀양,15,16,895
2015,7,경남,의령,의령군,4,5,932
2015,7,경남,창녕,밀양,1003,998,1006
2015,7,경남,창원의창,북창원,9,8,1098
2015,7,경남,함양,산청,452,430,1051
2015,7,경남,합천,합천,457,412,1111
2015,7,경북,경산,대구,49,47,1023
2015,7,경북,고령,합천,89,87,1020
2015,7,경북,구미,구미,84,81,1037
2015,7,경북,군위,의성,106,93,1140
2015,7,경북,김천,추풍령,229,226,1012
2015,7,경북,문경,문경,27,22,1218
2015,7,경북,안동,안동,5,5,1011
2015,7,경북,영천,영천,101,89,1132
2015,7,경북,의성,의성,184,170,1081
2015,7,대구,달성,대구,258,220,1175
2015,7,대구,대구중구,대구,71,89,804
2015,7,전남,고흥,고흥,1,1,833
2015,7,전남,나주,광주,25,23,1059
2015,7,전남,무안,목포,8218,7275,1130
2015,7,전남,신안,목포,406,379,1071
2015,7,전남,영암,강진군,148,143,1034
2015,7,전남,장흥,장흥,28,37,754
2015,7,전남,함평,영광,2012,1871,1075
2015,7,전남,해남,해남,699,711,984
2015,7,전북,고창,고창,94,89,1052
2015,7,전북,부안,부안,61,56,1090
2015,7,전북,완주,전주,10,10,1067
2015,7,전북,익산,군산,175,141,1237
2015,7,제주,제주,제주,186,171,1087
2015,7,충남,논산,부여,2,2,859
2015,7,충남,서산,서산,120,98,1219
2015,8,경기,구리,서울,1071,898,1193
2015,8,경남,거창,거창,29,29,994
2015,8,경남,의령,의령군,5,6,887
2015,8,경남,창녕,밀양,751,692,1086
2015,8,경남,창원의창,북창원,15,16,911
2015,8,경남,함양,산청,291,245,1187
2015,8,경남,합천,합천,187,141,1331
2015,8,경북,경산,대구,68,55,1230
2015,8,경북,고령,합천,16,15,1078
2015,8,경북,구미,구미,35,31,1154
2015,8,경북,군위,의성,98,77,1282
2015,8,경북,김천,추풍령,138,104,1326
2015,8,경북,문경,문경,13,9,1403
2015,8,경북,안동,안동,51,40,1267
