지점,지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일조시간(hr)
95,철원,2016-08,25.3,34.3,10.6,63.7,230.5
95,철원,2016-09,20.2,29.7,6.1,32.2,202.5
95,철원,2016-10,13.4,27.3,-4,173.1,185.7
95,철원,2016-11,4.3,18.6,-10.6,15.6,142.8
95,철원,2016-12,-1.4,11.8,-18.7,69.8,135.1
95,철원,2017-01,-4.4,9.9,-18.2,14.5,196.9
95,철원,2017-02,-2.6,10.6,-16.6,9.8,201.3
95,철원,2017-03,3.5,17.4,-9.4,21.5,216
95,철원,2017-04,12.1,26.6,-2.4,63.6,248.1
95,철원,2017-05,17.7,28.9,5.9,36,277.6
95,철원,2017-06,21.3,32,8.7,74.2,272.3
95,철원,2017-07,25.5,33.6,18.1,575.2,119.9
95,철원,2017-08,23.6,33.8,11.7,354.9,145.9
95,철원,2017-09,18.8,28.9,3.9,26.6,171.6
95,철원,2017-10,12.8,26.8,-4.8,10.8,195.4
95,철원,2017-11,2.7,18.2,-11.5,33.5,163.4
95,철원,2017-12,-4.9,8.5,-18.8,12.8,171.3
95,철원,2018-01,-7.3,7.7,-25.2,7.9,185.7
95,철원,2018-02,-4.4,9.8,-21.1,14.4,206.4
95,철원,2018-03,6.2,21.9,-10.8,33.6,202.7
95,철원,2018-04,11.2,27.1,-3.5,139.4,203.6
95,철원,2018-05,16.8,29.5,5.7,263.1,231.4
95,철원,2018-06,21.7,32.3,12,122.3,232.2
95,철원,2018-07,25.4,36,14.7,174.2,234.6
95,철원,2018-08,26.3,38.4,15.4,527,235.2
95,철원,2018-09,18.8,29.4,5.9,55.4,206.9
95,철원,2018-10,9.9,24.6,-3.3,74.8,217.6
95,철원,2018-11,4.5,18.6,-8.4,60.2,159
95,철원,2018-12,-4,11.4,-18.6,8.3,190.8
95,철원,2019-01,-4.9,7.6,-17.1,0,208.3
95,철원,2019-02,-1.7,13.2,-15.2,20.6,205.6
95,철원,2019-03,4.5,17.1,-7.9,23.3,230.7
95,철원,2019-04,9.9,27.6,-5.8,28,236.2
95,철원,2019-05,17.8,32.5,2.8,26.4,340
95,철원,2019-06,20.9,32.1,10.3,57.1,284.6
95,철원,2019-07,24.2,34.5,14.3,305.3,211.8
95,철원,2019-08,24.8,35.1,15.6,156.9,267.7
95,철원,2019-09,20,30.3,8.7,199.1,201.4
95,철원,2019-10,13.7,27.8,-.9,30.8,227.7
95,철원,2019-11,4.5,20.8,-8.3,53,191.4
95,철원,2019-12,-1.1,11.3,-15.6,20,149.1
95,철원,2020-01,-1.2,11,-11.7,79.7,179.8
95,철원,2020-02,0,15.8,-17.7,46.8,180.2
95,철원,2020-03,5.5,19.9,-7.9,16.9,258.7
95,철원,2020-04,9.1,22.8,-5.2,20.9,288.8
95,철원,2020-05,16.9,28.8,5.6,161.7,241.9
95,철원,2020-06,22.5,33.6,12.7,92.2,267.3
95,철원,2020-07,22.8,31.7,15.3,184.5,210.6
95,철원,2020-08,25.1,34.9,18.7,903,136.8
95,철원,2020-09,18.8,30.1,7.8,166,213.3
95,철원,2020-10,10.9,23.1,-2.7,4.1,244
95,철원,2020-11,5,19.8,-8.9,72.3,182.4
95,철원,2020-12,-3.9,9.9,-18.8,1.2,193.4
95,철원,2021-01,-5.9,13.1,-22.4,7.6,189.5
95,철원,2021-02,.1,17.3,-14.6,4.8,203
95,철원,2021-03,6.2,21.7,-7.8,103.7,240.7
95,철원,2021-04,12,28,-.3,99.3,262
95,철원,2021-05,15.5,29.7,3.6,199.1,247.5
95,철원,2021-06,21.2,31.1,12.4,67.6,247.4
95,철원,2021-07,26.1,35.7,17.7,117.2,289.1
95,철원,2021-08,23.6,32.1,15.4,219.6,211.3
95,철원,2021-09,20.3,29.6,12.5,105.9,231.6
98,동두천,2014-01,-2.1,7.8,-13.6,10.6,182.6
98,동두천,2014-02,.6,17.5,-11.1,22.6,174.1
98,동두천,2014-03,7.1,23.9,-7.2,7.8,224.8
98,동두천,2014-04,13.2,27.3,-.8,22.1,210.2
98,동두천,2014-05,17.9,33.4,4.2,80.8,302.5
