,city,kind,market,corp,wide,year,month,area,ratio,amount,inn,out,AT_1,AT_7,AT_10,AT_12,HT_7,HT_10,LT_2,RAIN_3,RAIN_6,RAIN_7,RAIN_8,RAIN_10,SUN_1,SUN_2,SUN_4,SUN_5,SUN_7,SUN_10,SUN_11
46,4,4,13,40,6,21,10,74.72828488115225,48.1181118735704,100.00000000000001,3.0610384970842595,28.523537890297362,2.1,24.1,16.1,3.8,27.9,21.8,-1.9,71.7,266.7,356.9,89.7,281.4,201.0,164.3,175.9,260.4,137.8,203.4,183.9
47,4,4,13,40,6,22,8,50.658301670053895,69.12039925140363,77.77175717354994,11.137266869526398,2.89642915854646,4.0,22.6,15.0,2.0,26.1,21.5,-1.0,45.1,304.9,334.2,181.8,24.9,142.3,178.4,259.0,197.2,67.2,226.7,165.4
48,4,4,13,40,6,22,7,50.658301670053895,69.12039925140363,77.77175717354994,4.866818398030924,16.662644352240946,4.0,22.6,15.0,2.0,26.1,21.5,-1.0,45.1,304.9,334.2,181.8,24.9,142.3,178.4,259.0,197.2,67.2,226.7,165.4
49,4,4,13,40,6,22,6,50.658301670053895,69.12039925140363,77.77175717354994,3.5838054418148455,6.793541092237841,4.0,22.6,15.0,2.0,26.1,21.5,-1.0,45.1,304.9,334.2,181.8,24.9,142.3,178.4,259.0,197.2,67.2,226.7,165.4
50,4,4,13,40,6,22,5,50.658301670053895,69.12039925140363,77.77175717354994,3.2813712501211545,0.2622459903666843,4.0,22.6,15.0,2.0,26.1,21.5,-1.0,45.1,304.9,334.2,181.8,24.9,142.3,178.4,259.0,197.2,67.2,226.7,165.4
51,4,4,13,40,6,22,4,50.658301670053895,69.12039925140363,77.77175717354994,12.241217616568814,0.022864184453156487,4.0,22.6,15.0,2.0,26.1,21.5,-1.0,45.1,304.9,334.2,181.8,24.9,142.3,178.4,259.0,197.2,67.2,226.7,165.4
52,4,4,13,40,6,22,3,50.658301670053895,69.12039925140363,77.77175717354994,13.105559620628842,0.007398640063129969,4.0,22.6,15.0,2.0,26.1,21.5,-1.0,45.1,304.9,334.2,181.8,24.9,142.3,178.4,259.0,197.2,67.2,226.7,165.4
53,4,4,13,40,6,22,2,50.658301670053895,69.12039925140363,77.77175717354994,4.845444999679543,0.0953708570718302,4.0,22.6,15.0,2.0,26.1,21.5,-1.0,45.1,304.9,334.2,181.8,24.9,142.3,178.4,259.0,197.2,67.2,226.7,165.4
54,4,4,13,40,6,22,1,50.658301670053895,69.12039925140363,77.77175717354994,7.028363132868284,0.01694527240265251,4.0,22.6,15.0,2.0,26.1,21.5,-1.0,45.1,304.9,334.2,181.8,24.9,142.3,178.4,259.0,197.2,67.2,226.7,165.4
55,6,0,3,7,0,21,12,4.267915525315896,41.297567061759196,5.446238584504341,2.0312392041448333,0.0069213084461538414,-0.9,25.9,16.4,1.4,30.1,21.8,-3.2,26.8,74.0,194.4,190.5,55.5,215.0,190.5,221.6,314.0,150.1,236.5,203.2
