,kind,market,corp,wide,city,price,year,month,area,ratio,amount,weather,inn,out
144,6,11,1,4,12,578.76,20,5,356,8950,31861,7,1757.0379999999998,55.15000000000001
145,0,5,17,2,26,1025.82,20,4,2365,8098,191509,23,3978.408,5.0
146,4,24,62,8,32,801.09,19,4,1130,7875,89017,28,5370.9090000000015,10.409999999999998
147,4,28,67,9,11,798.18,19,4,944,5500,51922,13,5370.9090000000015,10.409999999999998
148,4,21,35,4,12,536.54,18,6,263,9368,24662,7,4233.002,155.28600000000003
149,8,9,16,1,16,709.66,21,4,4023,8423,338877,10,3842.014,41.540000000000006
150,4,16,45,7,27,1651.52,21,1,1687,8314,140261,27,7944.320000000002,14.0
151,4,20,52,5,23,805.45,20,7,13,7788,988,11,2150.1100000000006,3491.0
152,6,20,28,1,33,750.0,21,6,4023,8423,338877,10,1815.108,3198.0
153,7,12,39,2,9,628.57,18,11,3369,6296,212066,29,5020.0059999999985,145.07999999999996
154,0,8,29,2,7,530.21,20,6,2365,8098,191509,5,1832.019,1423.4429999999998
155,6,31,20,2,26,13750.0,21,8,3159,9739,307653,23,2027.112,271.105
156,6,11,36,6,4,933.33,20,5,5743,7883,452737,3,1757.0379999999998,55.15000000000001
157,0,11,36,2,29,821.4,20,1,2365,8098,191509,25,2686.0110000000004,3.76
158,7,8,29,5,23,554.04,19,9,16,6463,1049,11,2537.424,3558.08
159,4,24,62,1,28,244.69,18,10,5471,6601,361120,24,3537.007,4.4
160,2,1,5,6,14,480.29,20,6,5743,7883,452737,8,1832.019,1423.4429999999998
161,0,13,41,1,37,936.67,20,12,2825,8783,248082,30,6157.801,1.79
162,6,10,75,2,26,848.52,17,5,2087,5974,124702,23,1415.802,7.0
163,4,0,0,1,37,785.44,19,4,4330,8170,353752,30,5370.9090000000015,10.409999999999998
164,6,10,60,2,7,413.38,19,7,3309,7471,247231,5,2498.442,20950.006
165,0,5,17,2,7,303.8,19,9,3309,7471,247231,5,2537.424,3558.08
166,0,11,1,2,25,1054.31,17,11,2087,5974,124702,22,25736.005,403.0
167,0,3,13,0,6,765.0,20,3,345,5942,20525,18,4192.700000000002,1.76
168,0,13,41,1,33,1364.69,21,2,4023,8423,338877,10,11292.08,0.14
169,7,10,10,6,14,590.0,21,6,6775,8547,579042,8,1815.108,3198.0
170,0,3,7,8,32,811.84,20,4,955,7594,72489,28,3978.408,5.0
171,0,28,70,8,32,946.77,20,4,955,7594,72489,28,3978.408,5.0
172,6,10,75,6,14,712.53,19,4,8467,6873,581958,8,5370.9090000000015,10.409999999999998
173,5,5,23,1,37,421.25,18,12,5471,6601,361120,30,2857.805000000001,232.2
174,4,4,9,2,7,688.29,19,12,3309,7471,247231,5,1447.099,1.66
175,4,21,3,9,19,281.72,18,6,1233,5570,68687,17,4233.002,155.28600000000003
176,4,5,22,2,8,782.81,20,10,2365,8098,191509,25,5213.902,7.88
177,7,1,6,6,31,786.04,20,11,5743,7883,452737,26,4786.045000000001,2.016
178,0,2,31,1,37,441.4,19,9,4330,8170,353752,30,2537.424,3558.08
179,0,15,18,8,18,1000.0,20,3,955,7594,72489,16,4192.700000000002,1.76
180,0,11,1,6,14,472.13,16,5,9521,5981,569472,8,943.504,833.01
181,6,10,30,6,14,1049.31,17,9,9230,5578,514896,8,19027.606,6.05
