,date,qty,total,cost
580,2015-08-25,878.1300000000001,1050.1000000000001,1195.8366073360437
581,2015-08-26,763.3100000000002,951.5799999999999,1246.649460900551
582,2015-08-27,980.7799999999996,1148.41,1170.9149860315263
583,2015-08-28,929.5899999999999,1036.44,1114.9431469787758
584,2015-08-29,733.6399999999999,794.08,1082.383730439998
586,2015-08-31,1096.7900000000004,1211.0399999999997,1104.1676164078806
592,2015-09-01,874.88,978.7800000000001,1118.7591441111924
602,2015-09-02,581.8000000000001,648.5,1114.6442076314884
610,2015-09-03,805.4999999999998,873.2099999999999,1084.0595903165738
612,2015-09-04,858.94,985.16,1146.9485645097445
613,2015-09-05,702.7299999999998,784.07,1115.7485805359104
614,2015-09-07,948.8899999999999,1054.1699999999998,1110.9506897532906
615,2015-09-08,785.2100000000002,856.9999999999999,1091.4277709147868
616,2015-09-09,993.8400000000001,1072.3899999999999,1079.036867101344
593,2015-09-10,942.8700000000001,1025.15,1087.2654766828937
594,2015-09-11,930.09,1026.6100000000004,1103.7749035039624
595,2015-09-12,787.0600000000001,836.6300000000001,1062.98122125378
596,2015-09-14,914.9699999999998,1002.02,1095.1397313573125
597,2015-09-15,938.01,1048.6200000000001,1117.9198516007295
598,2015-09-16,674.43,741.0,1098.7055735954807
599,2015-09-17,960.2500000000002,1084.64,1129.5391825045558
600,2015-09-18,904.8599999999998,980.06,1083.10677894923
601,2015-09-19,750.0699999999998,821.8799999999998,1095.737731145093
603,2015-09-20,31.75,23.3,733.8582677165355
604,2015-09-21,951.1700000000001,1060.9900000000002,1115.4578045985472
605,2015-09-22,923.4800000000001,1026.857,1111.9428682808505
606,2015-09-23,1058.0900000000001,1155.8300000000002,1092.3739946507387
607,2015-09-24,864.88,964.3399999999999,1114.9986125242806
608,2015-09-25,703.6,781.1300000000001,1110.1904491188177
609,2015-09-26,21.21,23.419999999999998,1104.1961338991039
611,2015-09-30,959.9499999999998,1008.0600000000002,1050.1171936038338
334,2015-10-01,511.90000000000003,540.98,1056.8079703067006
343,2015-10-02,695.7999999999998,736.72,1058.8100028743895
353,2015-10-03,694.4799999999999,694.2299999999999,999.6400184310563
356,2015-10-05,841.6199999999998,916.4199999999997,1088.876214918847
357,2015-10-06,751.17,875.0399999999997,1164.9027517073364
358,2015-10-07,910.5600000000001,1055.9099999999999,1159.6270426989981
359,2015-10-08,998.1999999999998,1116.8200000000004,1118.83390102184
360,2015-10-09,783.4100000000002,871.9300000000001,1112.993196410564
335,2015-10-10,650.9899999999999,724.35,1112.689903070708
336,2015-10-12,982.0300000000001,1108.83,1129.120291640785
337,2015-10-13,748.27,815.1299999999999,1089.352773731407
338,2015-10-14,718.0600000000001,796.8499999999997,1109.7262067236716
339,2015-10-15,875.4600000000002,974.3599999999999,1112.9691819157924
340,2015-10-16,770.9300000000001,873.5200000000001,1133.073041650993
341,2015-10-17,525.02,535.13,1019.2564092796465
342,2015-10-19,663.2400000000001,732.8000000000003,1104.8790784633018
344,2015-10-20,702.7099999999998,806.3400000000001,1147.4719300991878
345,2015-10-21,629.3000000000001,680.91,1082.0117590974096
346,2015-10-22,818.4899999999999,909.9499999999999,1111.7423548241275
347,2015-10-23,724.69,807.34,1114.0487656791179
348,2015-10-24,614.04,716.06,1166.1455279786335
349,2015-10-26,785.28,964.2399999999999,1227.8932355338222
350,2015-10-27,981.8000000000001,1137.2200000000003,1158.3010796496233
351,2015-10-28,629.71,714.34,1134.3951977894585
352,2015-10-29,520.67,588.1799999999998,1129.6598613325136
354,2015-10-30,880.45,960.91,1091.3850871713328
355,2015-10-31,721.6700000000001,789.9500000000002,1094.6138816910777
370,2015-11-02,911.43,1037.6900000000003,1138.5295634332865
379,2015-11-03,715.7599999999999,811.25,1133.410640438136
381,2015-11-04,764.3100000000002,882.0100000000001,1153.995106697544
382,2015-11-05,809.0399999999998,981.3900000000001,1213.030258083655
383,2015-11-06,778.1600000000002,945.29,1214.7758815667726
384,2015-11-07,847.3299999999999,1000.3699999999998,1180.6144005287194
385,2015-11-09,762.25,932.1199999999999,1222.8533945555919
361,2015-11-10,803.12,999.28,1244.2474350034863
362,2015-11-11,777.3899999999999,914.2999999999998,1176.1149487387283
363,2015-11-12,938.8299999999997,1103.5400000000004,1175.4417732709871
364,2015-11-13,985.1499999999997,1143.66,1160.8993554281076
365,2015-11-14,642.3599999999999,725.7499999999999,1129.818170496295
366,2015-11-16,727.6400000000001,817.0499999999998,1122.8766972678793
367,2015-11-17,841.1700000000002,930.8100000000003,1106.5658547023788
368,2015-11-18,612.4000000000001,675.0000000000002,1102.2207707380799
369,2015-11-19,791.6799999999998,876.4699999999999,1107.1013540824576
371,2015-11-20,566.1600000000001,678.0999999999998,1197.7179595873952
372,2015-11-21,571.15,656.18,1148.8750765998425
373,2015-11-23,509.40999999999997,604.6500000000001,1186.9613867022638
374,2015-11-24,927.71,1151.95,1241.7134664927617
375,2015-11-25,781.8599999999999,956.64,1223.5438569564885
376,2015-11-26,478.86999999999995,559.5499999999998,1168.47996324681
377,2015-11-27,779.3199999999999,1022.8199999999997,1312.4518811271362
378,2015-11-28,705.8700000000001,869.4299999999997,1231.714054995962
380,2015-11-30,889.2799999999997,1124.12,1264.0788053256572
386,2015-12-01,643.3299999999999,856.4100000000001,1331.2141513686602
396,2015-12-02,736.2900000000001,983.2500000000001,1335.4113189096688
405,2015-12-03,956.13,1117.91,1169.2029326556012
408,2015-12-04,937.9100000000001,1117.1899999999998,1191.1484044311285
409,2015-12-05,653.74,772.1299999999998,1181.096460366506
410,2015-12-07,817.16,994.94,1217.5583729012678
411,2015-12-08,758.1200000000001,981.7199999999999,1294.9401150213682
412,2015-12-09,872.78,1048.86,1201.7461445037695
387,2015-12-10,609.9100000000001,803.0499999999998,1316.6696725746417
388,2015-12-11,744.4700000000001,950.9499999999998,1277.3516730022695
389,2015-12-12,712.7700000000001,893.8499999999999,1254.051096426617
390,2015-12-14,764.5100000000001,929.1400000000002,1215.3405449242
391,2015-12-15,790.7400000000001,982.84,1242.9369957255228
392,2015-12-16,1003.1900000000003,1207.4199999999998,1203.5805779563188
393,2015-12-17,814.43,975.67,1197.978954606289
394,2015-12-18,839.7299999999999,991.3899999999998,1180.6056708703986
395,2015-12-19,656.1800000000001,786.74,1198.9697948733578
397,2015-12-21,855.8799999999999,1032.7100000000003,1206.606066270973
398,2015-12-22,780.7400000000001,899.2900000000001,1151.843123190819
399,2015-12-23,770.0,919.0599999999997,1193.5844155844152
400,2015-12-24,726.57,853.76,1175.0553972776195
401,2015-12-25,813.3499999999999,946.69,1163.9392635396816
402,2015-12-26,527.9899999999999,651.72,1234.3415594992332
403,2015-12-28,811.4000000000001,993.1800000000001,1224.032536356914
404,2015-12-29,845.3399999999999,998.09,1180.6965244753592
406,2015-12-30,895.9900000000002,1081.7600000000002,1207.3349032913313
407,2015-12-31,814.97,985.9300000000001,1209.7745929298012
625,2016-01-02,11.379999999999999,7.3100000000000005,642.3550087873464
637,2016-01-04,1074.8500000000001,1285.21,1195.711029445969
638,2016-01-05,1051.3500000000001,1279.7799999999993,1217.2730299139193
639,2016-01-06,901.5999999999999,1138.2,1262.4223602484474
640,2016-01-07,953.33,1159.76,1216.5357221528745
641,2016-01-08,773.9000000000002,931.0600000000002,1203.0753327303266
642,2016-01-09,669.8900000000001,811.3999999999999,1211.243637015032
617,2016-01-11,789.4999999999999,924.0200000000001,1170.386320455985
618,2016-01-12,935.4899999999999,1073.63,1147.6659290852924
619,2016-01-13,504.05999999999995,576.6899999999999,1144.0899892869895
620,2016-01-14,665.3800000000001,757.7800000000001,1138.86801526947
621,2016-01-15,706.9499999999998,796.7800000000001,1127.0669778626498
622,2016-01-16,568.67,651.15,1145.0401814760758
623,2016-01-18,676.7300000000001,795.53,1175.5500716681688
624,2016-01-19,647.94,761.5299999999999,1175.3094422323052
626,2016-01-20,559.5999999999999,657.1,1174.2315939957114
627,2016-01-21,512.9199999999998,594.4899999999999,1159.0306480542777
628,2016-01-22,503.32,607.28,1206.5485178415322
629,2016-01-23,651.5500000000001,846.9300000000001,1299.8695418617144
630,2016-01-25,561.36,734.39,1308.233575602109
631,2016-01-26,857.4899999999999,1026.04,1196.5620590327585
632,2016-01-27,818.12,1084.8200000000002,1325.991297120227
633,2016-01-28,1236.6399999999999,1536.66,1242.609005045931
634,2016-01-29,880.6899999999999,1222.1599999999999,1387.730075281881
635,2016-01-30,938.48,1226.65,1307.0603529110901
636,2016-01-31,24.98,27.830000000000002,1114.0912730184148
721,2016-02-01,1120.4099999999996,1521.0299999999997,1357.5655340455728
730,2016-02-02,997.8000000000001,1192.8599999999997,1195.490078171978
739,2016-02-03,894.79,1121.71,1253.6014036813108
740,2016-02-04,1249.1399999999996,1474.66,1180.5402116656262
741,2016-02-05,874.75,1102.11,1259.9142612174908
742,2016-02-06,303.80999999999995,360.9199999999999,1187.9793291860042
743,2016-02-07,15.28,15.91,1041.2303664921467
722,2016-02-11,969.8800000000001,1129.6299999999999,1164.7110982801992
723,2016-02-12,700.46,861.9700000000003,1230.5770493675586
724,2016-02-13,614.8299999999999,787.2300000000001,1280.4027129450421
725,2016-02-15,756.7999999999998,972.16,1284.5665961945035
726,2016-02-16,1295.51,1435.8,1108.2893995414934
727,2016-02-17,721.8900000000001,926.26,1283.1040740278988
728,2016-02-18,1361.54,1560.4400000000005,1146.0845806953894
729,2016-02-19,662.4000000000001,846.4300000000002,1277.8230676328503
731,2016-02-20,612.95,774.9199999999998,1264.2466759115748
732,2016-02-22,783.49,1041.7699999999998,1329.6532182925114
733,2016-02-23,1213.6499999999999,1490.9499999999998,1228.4843241461706
734,2016-02-24,773.3700000000003,1049.7900000000002,1357.4227084060667
735,2016-02-25,1239.0400000000002,1603.0700000000002,1293.8000387396694
736,2016-02-26,878.7800000000001,1183.58,1346.8444889505904
737,2016-02-27,629.3899999999999,866.26,1376.3485279397514
738,2016-02-29,1584.54,2132.649999999999,1345.9111161598944
744,2016-03-01,747.1799999999998,1057.3199999999997,1415.080703444953
754,2016-03-02,703.3100000000002,981.0800000000002,1394.9467517879739
763,2016-03-03,853.7400000000001,1237.2499999999998,1449.2117037974085
766,2016-03-04,816.82,1175.76,1439.4358610220122
767,2016-03-05,737.88,1065.93,1444.5844852821597
768,2016-03-07,664.3700000000001,1050.88,1581.7691948763488
769,2016-03-08,832.6300000000001,1334.7400000000002,1603.04096657579
770,2016-03-09,829.8699999999999,1301.0600000000004,1567.7877257883772
745,2016-03-10,814.7299999999999,1267.5400000000002,1555.7792152001282
746,2016-03-11,899.7700000000001,1343.25,1492.8815141647308
747,2016-03-12,871.6800000000001,1253.6899999999998,1438.2456864904548
748,2016-03-14,1000.65,1384.7700000000002,1383.8704841852798
749,2016-03-15,991.91,1398.3099999999997,1409.7145910415259
