,kind,market,corp,wide,city,price,year,month,area,ratio,amount,weather,inn,out
273,2,12,39,1,35,793.7,21,8,4023,8423,338877,15,2027.112,271.105
274,10,24,62,1,35,818.27,21,8,4023,8423,338877,15,2027.112,271.105
275,6,6,26,1,35,1000.0,21,8,4023,8423,338877,15,2027.112,271.105
276,4,9,34,1,28,657.54,21,8,4023,8423,338877,24,2027.112,271.105
277,4,8,15,1,28,788.64,21,8,4023,8423,338877,24,2027.112,271.105
278,4,17,48,1,28,810.0,21,8,4023,8423,338877,24,2027.112,271.105
279,4,24,62,1,28,621.64,21,8,4023,8423,338877,24,2027.112,271.105
280,0,5,17,1,28,938.76,21,8,4023,8423,338877,24,2027.112,271.105
281,0,3,13,1,28,764.86,21,8,4023,8423,338877,24,2027.112,271.105
282,0,9,16,1,28,653.82,21,8,4023,8423,338877,24,2027.112,271.105
283,0,8,29,1,28,711.35,21,8,4023,8423,338877,24,2027.112,271.105
284,0,20,28,1,28,509.33,21,8,4023,8423,338877,24,2027.112,271.105
285,0,25,63,1,28,493.51,21,8,4023,8423,338877,24,2027.112,271.105
286,0,25,32,1,28,292.42,21,8,4023,8423,338877,24,2027.112,271.105
287,0,24,61,1,28,748.4,21,8,4023,8423,338877,24,2027.112,271.105
288,2,9,77,1,28,730.0,21,8,4023,8423,338877,24,2027.112,271.105
289,2,8,33,1,28,700.0,21,8,4023,8423,338877,24,2027.112,271.105
290,10,24,62,1,28,850.0,21,8,4023,8423,338877,24,2027.112,271.105
291,6,8,29,1,28,725.0,21,8,4023,8423,338877,24,2027.112,271.105
292,4,21,3,1,34,766.68,21,8,4023,8423,338877,14,2027.112,271.105
293,4,7,27,1,34,730.85,21,8,4023,8423,338877,14,2027.112,271.105
294,4,26,64,1,34,836.01,21,8,4023,8423,338877,14,2027.112,271.105
295,0,25,63,1,34,524.36,21,8,4023,8423,338877,14,2027.112,271.105
296,0,26,19,1,34,656.16,21,8,4023,8423,338877,14,2027.112,271.105
297,0,26,64,1,34,783.4,21,8,4023,8423,338877,14,2027.112,271.105
298,7,10,30,1,34,518.52,21,8,4023,8423,338877,14,2027.112,271.105
299,6,21,3,1,34,893.85,21,8,4023,8423,338877,14,2027.112,271.105
300,4,5,23,1,0,155.0,21,8,4023,8423,338877,1,2027.112,271.105
301,0,10,10,1,0,1227.93,21,8,4023,8423,338877,1,2027.112,271.105
302,0,5,17,1,0,943.07,21,8,4023,8423,338877,1,2027.112,271.105
303,0,5,21,1,0,438.03,21,8,4023,8423,338877,1,2027.112,271.105
304,0,3,55,1,0,510.0,21,8,4023,8423,338877,1,2027.112,271.105
305,0,25,63,1,0,669.52,21,8,4023,8423,338877,1,2027.112,271.105
306,0,24,61,1,0,363.64,21,8,4023,8423,338877,1,2027.112,271.105
307,2,3,55,1,0,510.0,21,8,4023,8423,338877,1,2027.112,271.105
308,2,8,33,1,0,622.98,21,8,4023,8423,338877,1,2027.112,271.105
309,10,24,62,1,0,810.0,21,8,4023,8423,338877,1,2027.112,271.105
310,4,5,23,4,13,592.42,21,8,332,7968,26487,7,2027.112,271.105
311,4,7,27,4,13,776.96,21,8,332,7968,26487,7,2027.112,271.105
